Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
91	10475.682	306.97412	10868.137	9919.096	10046.302	3078.8123	11378.961	866.66504	1000.0	1000.0	909999	1150.8741	185.84767	1347.3328	-393.08008	-1153.3578	63.897625	6959.271153688431
92	10482.678	341.55978	10882.533	9653.254	11201.942	254.98709	11561.56	10579.865	1000.0	1000.0	919999	1154.2363	179.07573	1357.4342	97.148674	-1156.725	66.43132	7034.54060292244
93	9451.192	2909.2424	10806.976	757.68475	10353.218	2025.8999	11301.482	4303.732	1000.0	1000.0	929999	1158.6339	174.34848	1353.6487	221.30142	-1161.1294	65.5001	7109.845112800598
94	10496.016	652.45654	11228.895	8693.836	10091.813	2793.0605	11429.185	1802.3833	1000.0	1000.0	939999	1159.5979	174.67949	1356.1818	253.61324	-1162.0605	67.30756	7185.009436130524
95	10498.15	404.31384	11048.585	9942.948	10975.446	272.19626	11328.425	10330.65	1000.0	1000.0	949999	1160.8555	175.21274	1355.6047	-51.48994	-1163.3326	67.53234	7259.89786529541
96	9765.373	2810.5923	11138.088	1377.2075	10176.154	2933.5334	11459.751	1399.2749	1000.0	1000.0	959999	1163.0803	175.50931	1357.3899	14.0886345	-1165.5723	67.31488	7334.973840236664
97	10801.893	239.13455	11122.843	10393.854	11073.693	168.48804	11317.757	10717.429	1000.0	1000.0	969999	1164.4135	178.69392	1357.0867	-24.29046	-1166.868	66.34959	7409.898150682449
98	10546.989	441.09308	11213.061	9663.354	11323.196	212.62239	11705.0205	11006.552	1000.0	1000.0	979999	1164.9264	187.5947	1362.342	-118.4683	-1167.372	64.21122	7484.7938051223755
99	9874.779	2146.6633	11053.989	3566.5132	11272.471	118.54383	11462.584	11046.205	1000.0	1000.0	989999	1165.8269	194.71765	1370.6957	-228.74701	-1168.226	69.79008	7559.709250688553
100	10564.358	255.1605	10855.155	9925.773	10217.486	2050.6577	11390.212	4466.6445	1000.0	1000.0	999999	1166.5366	199.72525	1367.6333	-181.98575	-1169.0022	69.77743	7635.150053262711
101	10567.783	450.07938	11096.813	9799.724	10930.039	1296.6632	11599.078	7063.8423	1000.0	1000.0	1009999	1172.9901	192.6467	1370.5784	-156.47542	-1175.4347	68.094734	7710.095413923264
102	10395.635	770.45593	11007.259	8254.229	11453.92	222.44572	11963.687	11205.723	1000.0	1000.0	1019999	1180.5969	186.47015	1368.1179	-210.12279	-1182.9723	75.85595	7785.043705463409
103	10547.418	356.01285	11017.836	9838.716	9979.062	2768.2817	11670.207	4351.4355	1000.0	1000.0	1029999	1188.5226	170.1488	1361.6342	-384.0346	-1190.8202	74.162674	7859.828611373901
104	10887.318	232.69725	11265.77	10415.165	11096.215	564.1034	11465.203	9434.693	1000.0	1000.0	1039999	1192.2887	161.68327	1367.2064	-197.76257	-1194.5486	69.75365	7934.551389455795
105	10831.926	144.98035	10983.937	10477.378	11245.117	141.00374	11482.371	10938.298	1000.0	1000.0	1049999	1195.0221	157.45087	1368.2455	-422.65265	-1197.2346	72.90636	8009.3253009319305
106	10738.701	346.85974	11241.844	10212.899	11038.168	69.04686	11165.721	10888.857	1000.0	1000.0	1059999	1199.8105	152.74649	1363.5487	-332.72287	-1202.0049	69.36869	8084.1818125247955
107	9912.533	2626.3052	11241.224	2057.1028	10664.279	2010.2987	11580.676	4656.244	1000.0	1000.0	1069999	1202.8411	155.25494	1369.1469	-828.61975	-1205.0068	74.78401	8158.962736129761
108	10702.545	246.28336	11117.577	10334.347	10069.566	593.93317	11165.583	9172.892	1000.0	1000.0	1079999	1205.7781	154.02429	1364.6493	-221.16966	-1207.9294	65.951225	8233.724008321762
109	10640.269	636.75433	11152.915	8828.554	11605.695	192.76512	11868.788	11345.385	1000.0	1000.0	1089999	1209.3318	150.98248	1367.9966	-61.05516	-1211.4496	68.066284	8308.502108812332
110	10822.966	281.15903	11199.717	10180.654	10902.291	1026.1505	11627.433	8640.158	1000.0	1000.0	1099999	1213.3965	146.94194	1366.7402	-125.21769	-1215.4847	67.39295	8383.271996736526
111	10887.021	280.8212	11257.74	10475.091	10217.26	2714.0105	11420.343	2088.396	1000.0	1000.0	1109999	1215.3131	145.57745	1363.633	-187.63237	-1217.3685	64.24346	8458.545652389526
112	10847.385	258.60242	11275.175	10456.333	11383.502	166.66893	11561.422	11064.492	1000.0	1000.0	1119999	1217.0494	143.54796	1364.7133	-228.8726	-1219.0786	60.81528	8533.264247894287
113	9751.959	2424.8767	11380.257	3123.813	11594.545	185.99086	11894.141	11342.803	1000.0	1000.0	1129999	1218.4277	139.78894	1362.4958	-750.16785	-1220.4124	62.93799	8607.96035027504
114	10547.537	916.9946	11198.448	8060.6367	11623.887	178.90524	12054.858	11359.92	1000.0	1000.0	1139999	1218.832	140.30205	1365.836	-587.7855	-1220.7948	63.595177	8682.90715956688
115	11033.163	230.11832	11493.825	10586.4375	10899.153	902.3877	11497.845	8380.948	1000.0	1000.0	1149999	1222.2583	139.2025	1368.9231	-547.144	-1224.2456	65.39413	8757.752660751343
116	11073.561	227.7581	11449.337	10750.744	11196.959	288.43478	11464.56	10401.424	1000.0	1000.0	1159999	1224.773	134.28792	1365.7161	-443.84558	-1226.7153	61.0894	8832.577699184418
117	10535.893	1107.5059	11297.486	7290.7188	11094.503	1106.5575	11875.068	7831.0757	1000.0	1000.0	1169999	1225.183	132.92664	1362.3138	-67.176254	-1227.0955	56.827145	8907.278758525848
118	10737.571	446.89056	11370.056	9826.255	11536.38	154.46982	11749.201	11242.248	1000.0	1000.0	1179999	1225.3967	135.1133	1362.4371	-147.87877	-1227.2672	58.101994	8982.267033100128
119	10943.223	380.74365	11307.005	9968.784	10968.889	612.0428	11495.105	9218.128	1000.0	1000.0	1189999	1225.2478	136.40076	1361.3901	-203.35513	-1227.1085	55.431236	9056.943604707718
120	10255.945	1513.7289	11469.412	6086.203	11681.174	162.4847	12028.042	11484.519	1000.0	1000.0	1199999	1227.3331	136.45824	1368.108	-48.932545	-1229.2039	57.012806	9131.85636639595
121	10635.645	762.766	11305.837	9093.43	11343.988	512.6597	11688.901	9841.462	1000.0	1000.0	1209999	1227.1877	141.74669	1364.0858	-43.13215	-1229.0	56.50327	9206.729590415955
122	10812.061	551.2403	11334.09	9500.254	11760.309	220.65392	12175.826	11400.213	1000.0	1000.0	1219999	1227.771	148.68578	1369.3206	-218.92758	-1229.5901	59.339138	9281.696963787079
123	11026.651	334.23163	11339.149	10106.038	10419.818	2246.9497	11811.841	5288.8438	1000.0	1000.0	1229999	1228.4536	149.83713	1369.3473	-161.10501	-1230.2444	57.206657	9356.409131526947
124	10953.846	225.09784	11323.416	10601.677	11477.214	196.97856	11731.818	11008.948	1000.0	1000.0	1239999	1229.8474	150.53647	1370.4489	-212.69574	-1231.6509	58.253963	9431.653401374817
125	10392.847	2078.6523	11442.598	4198.6836	10839.882	2568.9148	11944.613	3140.6936	1000.0	1000.0	1249999	1231.0616	149.11247	1366.3706	-171.85861	-1232.8018	56.956455	9506.4876806736
126	11061.65	190.63716	11305.464	10679.312	11483.724	152.93489	11668.094	11144.601	1000.0	1000.0	1259999	1232.9254	149.11507	1367.239	-182.85576	-1234.6569	56.798813	9581.273258686066
127	10256.107	2278.5396	11491.197	3545.4546	11535.808	208.57732	11815.402	11117.791	1000.0	1000.0	1269999	1232.103	150.77641	1363.4287	-162.91437	-1233.8315	55.216663	9656.001802444458
128	11034.021	167.47081	11285.353	10777.481	11123.342	1980.5752	12036.722	5201.4233	1000.0	1000.0	1279999	1234.3507	147.51239	1370.3407	-158.19707	-1236.0913	54.698112	9730.741170406342
129	10856.208	285.10797	11202.792	10182.624	11764.501	102.20427	11904.338	11615.666	1000.0	1000.0	1289999	1236.7677	145.08858	1366.498	-110.828705	-1238.4916	55.28095	9805.580505132675
